iter	Passed	Remaining
0	99	198919
1	201	201494
2	279	186253
3	365	182467
4	461	184115
5	557	185153
6	645	183668
7	738	183940
8	852	188701
9	931	185295
10	1003	181510
11	1070	177405
12	1153	176287
13	1252	177668
14	1339	177246
15	1404	174185
16	1493	174253
17	1562	172057
18	1628	169822
19	1718	170153
20	1804	170066
21	1872	168313
22	1959	168468
23	2045	168431
24	2136	168786
25	2223	168830
26	2304	168417
27	2390	168326
28	2454	166840
29	2548	167381
30	2638	167607
31	2728	167795
32	2801	167004
33	2881	166617
34	2971	166832
35	3061	167032
36	3156	167488
37	3229	166767
38	3293	165617
39	3382	165754
40	3464	165540
41	3557	165863
42	3625	164986
43	3715	165192
44	3808	165455
45	3894	165444
46	3961	164601
47	4052	164797
48	4140	164857
49	4228	164911
50	4321	165165
51	4391	164501
52	4454	163645
53	4538	163554
54	4606	162889
55	4697	163060
56	4780	162942
57	4865	162923
58	4956	163050
59	5046	163164
60	5133	163163
61	5219	163163
62	5309	163233
63	5396	163246
64	5483	163248
65	5565	163078
66	5632	162497
67	5728	162752
68	5821	162917
69	5909	162920
70	5976	162386
71	6037	161664
72	6125	161696
73	6192	161159
74	6282	161243
75	6362	161078
76	6446	160993
77	6514	160534
78	6583	160098
79	6672	160128
80	6757	160099
81	6848	160190
82	6965	160876
83	7081	161536
84	7160	161323
85	7257	161516
86	7323	161042
87	7396	160707
88	7492	160872
89	7578	160822
90	7660	160704
91	7753	160796
92	7852	161023
93	7935	160903
94	8037	161175
95	8115	160954
96	8187	160620
97	8279	160689
98	8368	160694
99	8463	160804
100	8537	160518
101	8608	160181
102	8691	160076
103	8776	159998
104	8868	160049
105	8982	160507
106	9091	160843
107	9185	160918
108	9277	160945
109	9347	160601
110	9439	160643
111	9517	160441
112	9605	160410
113	9685	160237
114	9780	160309
115	9875	160396
116	9968	160434
117	10059	160447
118	10152	160473
119	10223	160167
120	10303	160007
121	10392	159977
122	10480	159935
123	10567	159883
124	10653	159804
125	10716	159392
126	10781	159001
127	10850	158690
128	10917	158343
129	11004	158294
130	11094	158280
131	11188	158332
132	11257	158028
133	11346	158002
134	11416	157710
135	11504	157673
136	11589	157604
137	11670	157461
138	11762	157478
139	11849	157431
140	11930	157300
141	12017	157247
142	12085	156945
143	12154	156662
144	12245	156660
145	12313	156370
146	12382	156085
147	12468	156024
148	12551	155926
149	12640	155905
150	12732	155905
151	12799	155610
152	12865	155313
153	12934	155050
154	13022	155007
155	13111	154982
156	13184	154770
157	13277	154786
158	13345	154524
159	13434	154493
160	13507	154284
161	13576	154031
162	13665	154014
163	13752	153957
164	13834	153859
165	13923	153833
166	14008	153759
167	14098	153736
168	14181	153649
169	14273	153647
170	14360	153594
171	14427	153334
172	14516	153305
173	14604	153267
174	14669	152982
